"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J4";"770669-5";1;"CONN23_770669_TEC";;;
2;"R7,R8,R9,R10,R6,R5";"RESC2012X60N";6;"5k";;;
3;"C16,C9,C11,C7,C8,C25,C17,C6";"CAPC2012X94N";8;"100nF";;;
4;"U17,U12,U13,U16";"TO-252-2";4;"CL220K4-G";;;
5;"U9,U10";"LMV358IDGKR";2;"LMV358IDGKR";;;
6;"L1";"SRR1210-820M";1;"SRR1210-820M";;;
7;"U19,U18,U15,U14";"PC357N2J000F";4;"PC357";;;
8;"HSE1";"XTAL_ECS-160-12-33Q-JES-TR";1;"16K";;;
9;"R16,R15";"RESC2012X60N";2;"1k";;;
10;"Q1";"SOT-23";1;"MMBT3904";;;
11;"C19,C20";"C0805C102J5HAC7800";2;"1nF";;;
12;"C21,C22";"CAPC2012X145N";2;"4.7nF";;;
13;"C14";"C0805C225K8RACTU";1;"2.2uF";;;
14;"C5,C13";"C0805C300J5GACTU";2;"30pF";;;
15;"R2";"RESC2012X60N";1;"10K";;;
16;"U2";"VX78012-500_VX7805-500";1;"VX7805-500";;;
17;"R17,R25,R19,R26,R24,R18";"RESC2012X60N";6;"15K";;;
18;"F1";"65800001109";1;"3A";;;
19;"U4";"LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y";1;"LSM6DS3";;;
20;"U3";"LQFP-64_10x10mm_P0.5mm";1;"STM32F412RGTx";;;
21;"D4";"SOT-23-3";1;"PESD1CAN_215";;;
22;"C23,C24";"CAPC2012X140N";2;"220nF";;;
23;"C31";"VGAS222034Y770DP";1;"VGAS222034Y770DP";;;
24;"U7";"M12D-04PMMR-SF7003";1;"M12D-04PMMR-SF7003";;;
25;"Y1";"CMR200T32768DZYT";1;"CMR200T32768DZYT ";;;
26;"R4,R23";"RESC2012X60N";2;"1500";;;
27;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
28;"C4,C2";"CAPC2012X140N";2;"22uF/10V";;;
29;"U1";"VX78012-500_VX7803-500";1;"VX7803-500";;;
30;"R11,R12";"RESC2012X60N";2;"4.7K";;;
31;"BT1";"BatteryHolder_Keystone_3034_1x20mm";1;"Battery_Cell";;;
32;"R3";"RESC2012X60N";1;"80";;;
33;"R14,R13";"RESC2012X60N";2;"15k";;;
34;"D2";"SMA4F33AY";1;"SMA4F33AY ";;;
35;"J2";"10056844-110ALF";1;"Conn_02x05_Odd_Even";;;
36;"D6,D7";"BAS21";2;"BAS21";;;
37;"C18";"CAPC2012X94N";1;"100n";;;
38;"U5";"DIP-8_W7.62mm";1;"MCP2561-E-P";;;
39;"U6,U11";"SOP65P640X120-17N";2;"TPS1HB16-Q1";;;
40;"U8";"DIP-8_W7.62mm";1;"DS1307+";;;
41;"C3,C1";"CAPC3216X140N";2;"10uF/50V";;;
42;"C0";"UPM1H681MHD6TN";1;"680uF/50V";;;
43;"D1";"LED_0603_1608Metric";1;"LED Green";;;
44;"D3";"APHBM2012SURKZGKC";1;"LED_Dual_AACC";;;
45;"C15";"CAPC2012X88N";1;"0.1 uF";;;
46;"C10";"CAPC2012X145N";1;"4.7uF";;;
47;"R1";"R_0402_1005Metric";1;"1k";;;
48;"C12";"C0603C105K8PACTU";1;"1uF";;;
49;"Module1";"Raspberry-Pi-4-Compute-Module";1;"ComputeModule4";;;
50;"FB1";"BEADC2012X110N";1;"600 @ 100mhz";;;
